class,type,total,total_with_name,total_without_name,percent_with_name
building,yes,154194,1195,152999,0.77499773013217116100
highway,residential,21094,20077,1017,95.1787238077178345
building,house,7572,70,7502,0.92445853143159006867
highway,secondary,5716,5705,11,99.8075577326801959
highway,tertiary,5176,5142,34,99.3431221020092736
highway,bus_stop,4825,4790,35,99.2746113989637306
amenity,parking,3839,276,3563,7.1893722323521750
highway,primary,2100,2097,3,99.8571428571428571
place,house,1999,145,1854,7.2536268134067034
leisure,pitch,1625,153,1472,9.4153846153846154
amenity,restaurant,1549,1536,13,99.1607488702388638
highway,motorway,1341,1331,10,99.2542878448918717
amenity,bench,1286,14,1272,1.0886469673405910
leisure,swimming_pool,1266,51,1215,4.0284360189573460
highway,service,1180,1180,0,100.0000000000000000
man_made,pier,1080,123,957,11.3888888888888889
building,residential,1062,55,1007,5.1789077212806026
building,apartments,1048,197,851,18.7977099236641221
waterway,stream,999,999,0,100.0000000000000000
highway,unclassified,817,593,224,72.5826193390452876
leisure,park,721,592,129,82.1081830790568655
amenity,place_of_worship,720,654,66,90.8333333333333333
building,detached,703,18,685,2.5604551920341394
leisure,playground,630,47,583,7.4603174603174603
amenity,school,577,552,25,95.6672443674176776
highway,path,568,568,0,100.0000000000000000
highway,footway,566,566,0,100.0000000000000000
place,postcode,559,559,0,100.0000000000000000
amenity,cafe,540,530,10,98.1481481481481481
building,commercial,504,107,397,21.2301587301587302
man_made,storage_tank,493,11,482,2.2312373225152130
leisure,picnic_table,483,2,481,0.41407867494824016563
amenity,fast_food,469,466,3,99.3603411513859275
amenity,bicycle_parking,468,7,461,1.4957264957264957
highway,cycleway,449,449,0,100.0000000000000000
highway,track,448,448,0,100.0000000000000000
highway,motorway_junction,363,260,103,71.6253443526170799
railway,subway,355,355,0,100.0000000000000000
amenity,drinking_water,353,6,347,1.6997167138810198
building,retail,345,27,318,7.8260869565217391
amenity,toilets,334,20,314,5.9880239520958084
leisure,garden,312,92,220,29.4871794871794872
highway,trunk,312,312,0,100.0000000000000000
shop,convenience,274,245,29,89.4160583941605839
tourism,picnic_site,271,71,200,26.1992619926199262
amenity,waste_basket,268,0,268,0.00000000000000000000
tourism,artwork,258,193,65,74.8062015503875969
landuse,grass,257,257,0,100.0000000000000000
amenity,post_box,250,102,148,40.8000000000000000
amenity,fuel,249,211,38,84.7389558232931727
highway,pedestrian,228,127,101,55.7017543859649123
shop,car_repair,221,208,13,94.1176470588235294
amenity,bank,221,218,3,98.6425339366515837
tourism,information,213,76,137,35.6807511737089202
shop,hairdresser,211,206,5,97.6303317535545024
amenity,parking_entrance,203,2,201,0.98522167487684729064
highway,steps,186,186,0,100.0000000000000000
building,school,185,114,71,61.6216216216216216
amenity,bar,183,182,1,99.4535519125683060
shop,clothes,168,163,5,97.0238095238095238
amenity,bicycle_rental,162,48,114,29.6296296296296296
shop,supermarket,156,154,2,98.7179487179487179
amenity,fountain,149,15,134,10.0671140939597315
landuse,residential,148,147,1,99.3243243243243243
place,neighbourhood,145,143,2,98.6206896551724138
aeroway,taxiway,140,55,85,39.2857142857142857
amenity,shelter,138,6,132,4.3478260869565217
leisure,sports_centre,137,82,55,59.8540145985401460
building,office,132,54,78,40.9090909090909091
railway,stop,132,132,0,100.0000000000000000
shop,beauty,129,125,4,96.8992248062015504
tourism,attraction,125,118,7,94.4000000000000000
historic,memorial,122,93,29,76.2295081967213115
shop,storage_rental,104,9,95,8.6538461538461538
amenity,library,103,99,4,96.1165048543689320
amenity,post_office,102,99,3,97.0588235294117647
amenity,parking_space,98,1,97,1.0204081632653061
amenity,fire_station,97,83,14,85.5670103092783505
tourism,viewpoint,96,26,70,27.0833333333333333
highway,living_street,96,36,60,37.5000000000000000
landuse,industrial,92,91,1,98.9130434782608696
man_made,pipeline,91,8,83,8.7912087912087912
shop,bakery,89,89,0,100.0000000000000000
building,mixed_use,88,31,57,35.2272727272727273
office,company,87,83,4,95.4022988505747126
amenity,pharmacy,87,86,1,98.8505747126436782
leisure,fitness_centre,83,80,3,96.3855421686746988
tourism,hotel,82,81,1,98.7804878048780488
highway,turning_loop,80,0,80,0.00000000000000000000
man_made,tower,79,24,55,30.3797468354430380
building,warehouse,78,33,45,42.3076923076923077
amenity,atm,77,41,36,53.2467532467532468
amenity,dentist,76,62,14,81.5789473684210526
shop,alcohol,75,72,3,96.0000000000000000
landuse,retail,70,69,1,98.5714285714285714
building,industrial,69,36,33,52.1739130434782609
waterway,drain,69,69,0,100.0000000000000000
amenity,pub,69,69,0,100.0000000000000000
shop,dry_cleaning,67,57,10,85.0746268656716418
natural,water,67,67,0,100.0000000000000000
building,university,66,66,0,100.0000000000000000
man_made,flagpole,65,0,65,0.00000000000000000000
leisure,nature_reserve,64,53,11,82.8125000000000000
leisure,track,63,5,58,7.9365079365079365
amenity,theatre,63,57,6,90.4761904761904762
amenity,car_sharing,62,59,3,95.1612903225806452
railway,abandoned,62,62,0,100.0000000000000000
natural,sand,62,62,0,100.0000000000000000
highway,corridor,61,1,60,1.6393442622950820
amenity,social_facility,60,53,7,88.3333333333333333
historic,building,60,56,4,93.3333333333333333
amenity,clinic,60,59,1,98.3333333333333333
shop,car,59,56,3,94.9152542372881356
amenity,community_centre,57,54,3,94.7368421052631579
shop,gift,57,56,1,98.2456140350877193
shop,furniture,56,55,1,98.2142857142857143
amenity,vending_machine,54,11,43,20.3703703703703704
tourism,museum,53,53,0,100.0000000000000000
railway,station,53,53,0,100.0000000000000000
amenity,public_bookcase,51,34,17,66.6666666666666667
emergency,phone,50,4,46,8.0000000000000000
shop,laundry,50,46,4,92.0000000000000000
building,dormitory,50,47,3,94.0000000000000000
amenity,ice_cream,50,49,1,98.0000000000000000
