building,yes,Private property,,0.77499773,LOW
highway,residential,Streets / bus stops / parking,,95.17872381,HIGH
building,house,Private property,,0.924458531,LOW
highway,secondary,Streets / bus stops / parking,,99.80755773,HIGH
highway,tertiary,Streets / bus stops / parking,,99.3431221,HIGH
highway,bus_stop,Transit,Bus Stop,99.2746114,HIGH
amenity,parking,Streets / bus stops / parking,Parking,7.189372232,LOW
highway,primary,Streets / bus stops / parking,Primary road,99.85714286,HIGH
place,house,Private property,House,7.253626813,LOW
leisure,pitch,Recreation and leisure facilities,Pitch (Sport),9.415384615,LOW
amenity,restaurant,Places to eat / drink,Restaurant,99.16074887,HIGH
highway,motorway,Streets / bus stops / parking,Motorway,99.25428784,HIGH
amenity,bench,Toilets / water fountains / and other necessities,Bench,1.088646967,LOW
leisure,swimming_pool,Health and wellness facilities,Swimming Pool,4.028436019,LOW
highway,service,Streets / bus stops / parking,Service road,100,HIGH
man_made,pier,Public Infrastructure,Pier,11.38888889,LOW
building,residential,Private property,Residential building,5.178907721,LOW
building,apartments,Private property,Apartment building,18.79770992,LOW
waterway,stream,Natural entities,Stream ,100,HIGH
highway,unclassified,Streets / bus stops / parking,Road,72.58261934,MED
leisure,park,Recreation and leisure facilities,Park,82.10818308,MED
amenity,place_of_worship,Religious facilities,Place of Worship,90.83333333,HIGH
building,detached,Private property,Detached building,2.560455192,LOW
leisure,playground,Recreation and leisure facilities,Playground,7.46031746,LOW
amenity,school,Educational facilities,School,95.66724437,HIGH
highway,path,Streets / bus stops / parking,Path,100,HIGH
highway,footway,Streets / bus stops / parking,Footway,100,HIGH
amenity,cafe,Places to eat / drink,Café,98.14814815,HIGH
building,commercial,Commercial entities,Commercial Building,21.23015873,LOW
man_made,storage_tank,Public Infrastructure,Storage Tank,2.231237323,LOW
leisure,picnic_table,Recreation and leisure facilities,Picnic Table,0.414078675,LOW
amenity,fast_food,Places to eat / drink,Fast food,99.36034115,HIGH
amenity,bicycle_parking,Streets / bus stops / parking,Bicycle Parking,1.495726496,LOW
highway,cycleway,Streets / bus stops / parking,Cycleway,100,HIGH
highway,track,Streets / bus stops / parking,Track Road,100,HIGH
highway,motorway_junction,Streets / bus stops / parking,Road junction,71.62534435,MED
railway,subway,Railway facilities,Subway Station,100,HIGH
amenity,drinking_water,Toilets / water fountains / and other necessities,Water fountain,1.699716714,LOW
building,retail,Shops,Retail building,7.826086957,LOW
amenity,toilets,Toilets / water fountains / and other necessities,Toilets,5.988023952,LOW
highway,trunk,Streets / bus stops / parking,Road,100,HIGH
leisure,garden,Recreation and leisure facilities,Garden,29.48717949,LOW
shop,convenience,Commercial entities,Convenience Store,89.41605839,MED
tourism,picnic_site,Recreation and leisure facilities,Picnic site,26.19926199,LOW
amenity,waste_basket,Toilets and other necessities,Waste basket,0,LOW
tourism,artwork,Tourist attractions,Public artwork,74.80620155,MED
landuse,grass,Recreation and leisure facilities,Park,100,HIGH
amenity,post_box,Public Infrastructure,Post Box,40.8,LOW
amenity,fuel,Commercial entities,Gas Station,84.73895582,MED
highway,pedestrian,Streets / bus stops / parking,Road,55.70175439,MED
amenity,bank,Commercial entities,Bank,98.64253394,HIGH
shop,car_repair,Shops,Car Repair Shop,94.11764706,HIGH
tourism,information,Tourist attractions,Tourist Information,35.68075117,LOW
shop,hairdresser,Shops,Hair dresser,97.63033175,HIGH
highway,steps,Streets / bus stops / parking,,100,HIGH
building,school,Private property,School building,61.62162162,MED
amenity,bar,Places to eat / drink,Bar,99.45355191,HIGH
shop,clothes,Shops,Clothes Shop,97.02380952,HIGH
amenity,bicycle_rental,Shops,Bike Rental,29.62962963,LOW
shop,supermarket,Shops,Supermarket,98.71794872,HIGH
amenity,fountain,Tourist attractions,Fountain,10.06711409,LOW
amenity,shelter,Public Infrastructure,"Shelters (bus, picnics)",4.347826087,LOW
leisure,sports_centre,Recreation and leisure facilities,Sports center,59.8540146,MED
building,office,Commercial entities,Office,40.90909091,LOW
railway,stop,Railway facilities,Railway Stop,100,HIGH
shop,beauty,Shops,Beauty Shop,96.89922481,HIGH
tourism,attraction,Tourist attractions,Local Attraction,94.4,HIGH
historic,memorial,Tourist attractions,Memorial,76.2295082,MED
shop,storage_rental,Shops,Storage Rental,8.653846154,LOW
amenity,library,Educational facilities,Library,96.11650485,HIGH
amenity,parking_space,Streets / bus stops / parking,Parking,1.020408163,LOW
shop,bakery,Places to eat / drink,Bakery,100,HIGH
building,mixed_use,Private property,Mixed use building,35.22727273,LOW
amenity,pharmacy,Health and wellness facilities,Pharmacy,98.85057471,HIGH
office,company,Commercial entities,Company Office,95.40229885,HIGH
leisure,fitness_centre,Recreation and leisure facilities,Fitness Centre,96.38554217,HIGH
tourism,hotel,Commercial entities,Hotel,98.7804878,HIGH
highway,turning_loop,Streets / bus stops / parking,,0,LOW
building,warehouse,Private property,Warehouse,42.30769231,LOW
amenity,atm,Financial facilities,ATM,53.24675325,MED
amenity,dentist,Health and wellness facilities,Dentist,81.57894737,MED
shop,alcohol,Shops,Alcohol Shop,96,HIGH
amenity,pub,Places to eat / drink,Pub,100,HIGH
